,node,centrality,community,density,name
463,835,3,42,0.27076923076923076,"mazur, d."
464,1107,5,42,0.27076923076923076,"syroid, n."
465,1111,5,42,0.27076923076923076,"drews, f."
466,1110,5,42,0.27076923076923076,"strayer, d."
467,1109,5,42,0.27076923076923076,"westenskow, d."
468,1108,5,42,0.27076923076923076,"bermudez, j."
469,618,5,42,0.27076923076923076,"li, t."
470,828,6,42,0.27076923076923076,"jusufi, i."
471,829,6,42,0.27076923076923076,"hamann, b."
472,1341,6,42,0.27076923076923076,"thiagarajan, j.j."
473,1340,6,42,0.27076923076923076,"wang, b."
474,1002,8,42,0.27076923076923076,"landge, a.g."
475,1004,8,42,0.27076923076923076,"levine, j.a."
476,1003,8,42,0.27076923076923076,"langer, s.h."
477,619,8,42,0.27076923076923076,"srikumar, v."
478,41,9,42,0.27076923076923076,"livnat, y."
479,827,10,42,0.27076923076923076,"schulz, m."
480,831,10,42,0.27076923076923076,"isaacs, k.e."
481,830,10,42,0.27076923076923076,"gamblin, t."
482,826,10,42,0.27076923076923076,"bhatele, a."
483,39,11,42,0.27076923076923076,"agutter, j."
484,620,15,42,0.27076923076923076,"pascucci, v."
485,617,17,42,0.27076923076923076,"bremer, p.-t."
486,140,2,28,0.17846153846153845,"gansner, e."
487,421,2,28,0.17846153846153845,"ankerst, m."
488,314,2,28,0.17846153846153845,"carmel, l."
489,315,2,28,0.17846153846153845,"harel, d."
490,420,2,28,0.17846153846153845,"berchtold, s."
491,970,3,28,0.17846153846153845,"heilmann, r."
492,496,3,28,0.17846153846153845,"albo, y."
493,497,3,28,0.17846153846153845,"rafaeli, s."
494,495,3,28,0.17846153846153845,"lanir, j."
495,375,3,28,0.17846153846153845,"schneidewind, j."
496,247,3,28,0.17846153846153845,"janetzko, h."
497,852,4,28,0.17846153846153845,"sheleheda, d."
498,1296,4,28,0.17846153846153845,"baker, j."
499,971,4,28,0.17846153846153845,"sips, m."
500,1297,4,28,0.17846153846153845,"d'eletto, r."
501,851,4,28,0.17846153846153845,"rexroad, b."
502,1141,4,28,0.17846153846153845,"ladisch, j."
503,374,5,28,0.17846153846153845,"panse, c."
504,249,6,28,0.17846153846153845,"bak, p."
505,250,6,28,0.17846153846153845,"mansmann, f."
506,1140,6,28,0.17846153846153845,"hsu, m."
507,6,6,28,0.17846153846153845,"koren, y."
508,1138,7,28,0.17846153846153845,"hao, m.c."
509,1139,7,28,0.17846153846153845,"dayal, u."
510,139,9,28,0.17846153846153845,"north, s.c."
511,248,25,28,0.17846153846153845,"keim, d.a."
512,918,1,6,0.16399286987522282,"blanch, r."
513,361,2,6,0.16399286987522282,"schulman, r."
514,1060,2,6,0.16399286987522282,"tanasse, t."
515,359,2,6,0.16399286987522282,"hix, d."
516,47,2,6,0.16399286987522282,"amar, r."
517,10,3,6,0.16399286987522282,"payne, d.a."
518,11,3,6,0.16399286987522282,"turner, a.e."
519,521,3,6,0.16399286987522282,"martucci, l."
520,1055,3,6,0.16399286987522282,"jones, j.a."
521,1056,3,6,0.16399286987522282,"harrold, m.j."
522,1261,4,6,0.16399286987522282,"adams, d."
523,520,4,6,0.16399286987522282,"whitney, p."
524,746,4,6,0.16399286987522282,"cohe, a."
525,745,4,6,0.16399286987522282,"liutkus, b."
526,1144,4,6,0.16399286987522282,"miller, n."
527,747,5,6,0.16399286987522282,"lecolinet, e."
528,2,5,6,0.16399286987522282,"mackey, p."
529,656,5,6,0.16399286987522282,"cowley, w."
530,360,5,6,0.16399286987522282,"nowell, l."
531,666,5,6,0.16399286987522282,"havre, s."
532,543,6,6,0.16399286987522282,"pottier, m."
533,546,6,6,0.16399286987522282,"schur, a."
534,547,6,6,0.16399286987522282,"pennock, k."
535,544,6,6,0.16399286987522282,"lantrip, d."
